artist,title,website,date,
Amy Alexander,The Multicultural Recycler,http://recycler.plagiarist.org/,1996,,
Mark Amerika,Grammatron,http://www.grammatron.com/,1997,,
Mark Amerika,phon:e:me,http://phoneme.walkerart.org/,1999,,
Miekal And,After Emmett,http://net22.com/qazingulaza/joglars/afteremmett/bonvoyage.html,1998,,
Cory Arcangel,Urbandale,http://www.turbulence.org/Works/urbandale/index.html,2001,,
Anjali Arora b. 1960,Metropolitan Museum of Modern Paintings,http://www.artbrush.net/prix/,2001,,
Anjali Arora b. 1960,Nothing's Impossible here,http://www.artbrush.net/wvf/,2001,,
Anjali Arora b. 1960,When the earth trembled,http://www.artbrush.net/cynetart/,2001,,
Lew Baldwin,Redsmoke,http://www.redsmoke.com,1995,,
Marketa Bankova,New York City Map,http://www.nycmap.com/,2000,,
Kurt Baumann b. 1946,ARTificial ART: lines,http://www.artware-software.com/artificial-art/lines.html,2001,,
Thomas Beller,Mr. Beller's Neighborhood,http://www.mrbellersneighborhood.com/,2000,,
Ben Benjamin,Superbad,http://www.superbad.com,1997,,
Tracey Benson,bananarama 2000,http://www.experimenta.org/gallery/signsoflife/2000.htm,1999,,
Tracey Benson,Big Banana Time Inc.,http://www.bigbananatime.com,1996,,
Tracey Benson,dotty's tour of oz,http://home.iprimus.com.au/tbenson/current/dotty.htm,2000,,
Simon Biggs b. 1957,Babel,http://www.babel.uk.net,2001,,
Simon Biggs b. 1957,Book of Shadows,http://www.littlepig.org.uk,1995,,
Simon Biggs b. 1957,Great Wall of China,http://www.greatwall.org.uk,1996,,
Simon Biggs b. 1957,Mozaic,http://www.littlepig.org.uk,1999,,
Simon Biggs b. 1957,Postcard,http://www.littlepig.org.uk,1998,,
Nicky Bird,Red Herrings,http://www.pinkink.net/newart/rh/index.htm,1998,,
Natalie Bookchin,The Intruder,http://www.calarts.edu/~bookchin/intruder/,1998,,
Jay Boucher b. 1970,Retaining Wall Collisions,http://jayboucher.com/exhibit/collisions/,1999,,
Jay Boucher b. 1970,Untitled VR,http://jayboucher.com/exhibit/unvr/,2000,,
monika bravo b. 1964,FOR THE TIME BEING...,http://www.sololab.com,1998,,
monika bravo b. 1964,INFINITE HORIZON,http://www.sololab.com,2001,,
monika bravo b. 1964,LABYRINTHS,http://www.sololab.com,2001,,
monika bravo b. 1964,symphasis* simultaneous appearances,http://www.sololab.com/monika_bravo.html,2000,,
monika bravo b. 1964,SYNCHRONICITY,http://www.sololab.com/monika_bravo.html,1999,,
monika bravo b. 1964,"TAXIDIA * ""the cloudmakers"" * ""the search""",http://www.sololab.com,1997,,
Mez Breeze,>di][e][lation ][wo][manifesto,http://netwurkerz.de/mez/dielation/dilation1.htm,2001,,
Mez Breeze,][select][Text,http://netwurkerz.de/mez/selectext/,2001,,
Mez Breeze,_Ah.genda_,http://www.experimenta.org/gallery/mezsite/agenda1.htm,1999,,
Mez Breeze,_Cutting Spaces_,http://www.hotkey.net.au/~netwurker/cutspace.htm,1995,,
Mez Breeze,_datahbabee Vs NarrowBranding_,http://trace.ntu.ac.uk/frame5/mez/tubic1.htm,2000,,
Mez Breeze,iN-ternal damage report vers 1.1.,http://ctheory.concordia.ca/multimedia/dirt/fleshistics/page_1.htm,1997,,
Reginald Brooks b. 1948,RealSurReal...aClone,http://www.brooksdesign-cg/Code/Html/netart2.htm,2001,,
Sawad Brooks; Beth Stryker,DissemiNET,http://disseminet.walkerart.org/,1998,,
Sawad Brooks,Lapses and Erasures,http://www.thing.net/~sawad/erase/,1998,,
Danny Brown,Noodlebox,http://www.noodlebox.com,1997,,
Sheldon Brown b. 1962,Mi Casa es Tu Casa,http://www-crca.ucsd.edu/~sheldon/micasa/index.htm,1997,,
Heath Bunting,Own; Be Owned; or Remain Invisible,http://www.irational.org/heath/_readme.html,1998,,
Ed Burton,Soda Constructor,http://www.sodaplay.com,2000,,
John Cabral,GroundZero,http://www.turbulence.org/Works/groundzero/index.html,2001,,
Steve Cannon,Text.ure,http://text.ure.org,1999,,
Scott Carter b. 1979,!hobgoblin,http://www.madpickle.com/scott/sdd/hobgoblin/,2001,,
Young-Hae Chang,YOUNG-HAE CHANG HEAVY INDUSTRIES,http://www.yhchang.com,2000,,
Andrew Childs,megatight,http://www.megatight.com,2001,,
Peter Cho,Type Me; Type Me Not,http://acg.media.mit.edu/people/golan/,1997,,
Janet Cohen b. 1960;Keith Frank b. 1965;Jon Ippolito b. 1962,The Unreliable Archivist,http://www.walkerart.org/gallery9/three,1999,,
Shoshana Cohen,HomeSweetHome,http://web.macam98.ac.il/%7Eshow/HomeSweetHome/,1998,,
Shoshana Cohen,Questions - An Artists Kit for Survival,http://www.wizocollege.macam98.ac.il/s_art/questions/default.html,1997,,
Vuk Cosic,ASCII History Of Moving Images,http://www.ljudmila.org/~vuk/ascii/film/,1998,,
David Crawford,Here And Now,http://www.lightofspeed.com/now/,1999,,
Mark Daggett b. 1975,,http://www.flavoredthunder.com/index3.html,2001,,
Mark Daggett b. 1975,analysis_engine,http://www.flavoredthunder.com/analysis_engine/,1999,,
Mark Daggett b. 1975,Browser Gestures,http://www.flavoredthunder.com/dev/browser-gestures/,2001,,
Mark Daggett b. 1975,Trace-Root,http://www.flavoredthunder.com/invert/trace-root/,2000,,
Joshua Davis,Praystation,http://www.praystation.com/,2000,,
Andy Deck,CultureMap,http://www.artcontext.org/cultmap/index.php,1999,,
Andy Deck,Open Studio,http://draw.artcontext.net/,1990,,
Joss Deutsch b. 1962,PDA art,http://www.geocities.com/immjoss/PDAart,2001,,
Roberto Echen b. 1957,chaos about Vesta's coat,http://www.rechen.f2s.com/vestachaos_all.html,2001,,
Roberto Echen b. 1957,circus,http://www.rechen.f2s.com/circus.html,2000,,
Roberto Echen b. 1957,city lights,http://www.rechen.f2s.com/citylights.html,2000,,
Roberto Echen b. 1957,claim,http://www.rechen.f2s.com/claim.html,2000,,
Roberto Echen b. 1957,dialog 0,http://www.rechen.f2s.com/ascLang.html,2000,,
Roberto Echen b. 1957,Drowning by numbers,http://www.rechen.f2s.com/Numbers2.html,2001,,
etoy,etoy.CORPORATION,http://www.etoy.com,1995,,
etoy,toywar,http://toywar.com/,1999,,
everything Editorial,The London Borough of Cramley,http://bak.spc.org/everything/cramley/cramleycentre.html,1996,,
fbwn,fbwn.net,http://www.fbwn.net,2001,,
Ken Feingold b. 1952,JCJ-Junkman,http://www.kenfeingold.com/jcj1.html,1995,,
Ken Feingold b. 1952,Porncounter,http://www.kenfeingold.com/cgi-bin/pcounter.cgi,1996,,
Ken Feingold b. 1952,REKD,http://www.kenfeingold.com/cgi-bin/rekd.cgi,1996,,
Ken Feingold b. 1952,Seance Box No. 1,http://www.kenfeingold.com/index.html#seance,1998,,
Ken Feingold b. 1952,Self Portrait as the Center of the Universe,http://www.kenfeingold.com/feingold/index.html,2001,,
Ken Feingold b. 1952,where i can see my house from here so we are,http://www.kenfeingold.com/index.html#where_i,1993,,
Carol Flax b. 1952,Crossing a Divide,http://www.arts.arizona.edu/boundaries,2001,,
Carol Flax b. 1952,Ex/Changing Families,http://www.cmp.ucr.edu/ex/changing/,1998,,
Carol Flax b. 1952,Gravity,http://www.arts.arizona.edu/flax/gravity/,2000,,
Carol Flax b. 1952,Journeys:1900/2000,http://www.arts.arizona.edu/flax/journeys,2001,,
Carol Flax b. 1952,M/Other Stories,http://www.arts.arizona.edu/flax/,1998,,
Carol Flax b. 1952,Sometimes,http://www.mintmuseum.org/cflax/,1999,,
Ben Fry,Anemone,http://acg.media.mit.edu/people/fry/anemone/applet/,2001,,
Joy Garnett,Bomb Project (The),http://www.thebombproject.org,2000,,
GashGirl b. 1984,dollspace,http://www.thing.net/~dollyoko,1997,,
GashGirl b. 1984,liquid_nation,http://www.thing.net/~dollyoko/ID/LN/TEXT/LN01.HTM,1999,,
