artist,title,website,date,,_5,screenshots,archive available at,archive capture link,can access,base url
Amy Alexander,The Multicultural Recycler,http://recycler.plagiarist.org/,1996,,,artport_whitney_org_2001/screenshots/0.png,20010202055700,http://web.archive.org/web/20010202055700/http://recycler.plagiarist.org/,Y,plagiarist.org
Mark Amerika,Grammatron,http://www.grammatron.com/,1997,,,artport_whitney_org_2001/screenshots/1.png,19981202191619,http://web.archive.org/web/19981202191619/http://www.grammatron.com/,Y,grammatron.com
Mark Amerika,phon:e:me,http://phoneme.walkerart.org/,1999,,,artport_whitney_org_2001/screenshots/2.png,19991012110950,http://web.archive.org/web/19991012110950/http://phoneme.walkerart.org/,Y,walkerart.org
Miekal And,After Emmett,http://net22.com/qazingulaza/joglars/afteremmett/bonvoyage.html,1998,,,artport_whitney_org_2001/screenshots/3.png,19980515013149,http://web.archive.org/web/19980515013149/http://net22.com/qazingulaza/joglars/afteremmett/bonvoyage.html,Y,net22.com
Cory Arcangel,Urbandale,http://www.turbulence.org/Works/urbandale/index.html,2001,,,artport_whitney_org_2001/screenshots/4.png,20010306014945,http://web.archive.org/web/20010306014945/http://www.turbulence.org/Works/urbandale/index.html,Y,turbulence.org
Anjali Arora b. 1960,Metropolitan Museum of Modern Paintings,http://www.artbrush.net/prix/,2001,,,artport_whitney_org_2001/screenshots/5.png,20010911212754,http://web.archive.org/web/20010911212754/http://www.artbrush.net/prix/,Y,artbrush.net
Anjali Arora b. 1960,Nothing's Impossible here,http://www.artbrush.net/wvf/,2001,,,artport_whitney_org_2001/screenshots/6.png,20010505214346,http://web.archive.org/web/20010505214346/http://www.artbrush.net/wvf/,Y,artbrush.net
Anjali Arora b. 1960,When the earth trembled,http://www.artbrush.net/cynetart/,2001,,,artport_whitney_org_2001/screenshots/7.png,20010911133715,http://web.archive.org/web/20010911133715/http://www.artbrush.net/cynetart/,Y,artbrush.net
Lew Baldwin,Redsmoke,http://www.redsmoke.com,1995,,,artport_whitney_org_2001/screenshots/8.png,19981111190728,http://web.archive.org/web/19981111190728/http://www.redsmoke.com,Y,redsmoke.com
Marketa Bankova,New York City Map,http://www.nycmap.com/,2000,,,artport_whitney_org_2001/screenshots/9.png,20000312034557,http://web.archive.org/web/20000312034557/http://www.nycmap.com/,Y,nycmap.com
Kurt Baumann b. 1946,ARTificial ART: lines,http://www.artware-software.com/artificial-art/lines.html,2001,,,artport_whitney_org_2001/screenshots/10.png,20010826105446,http://web.archive.org/web/20010826105446/http://www.artware-software.com/artificial-art/lines.html,Y,artware-software.com
Thomas Beller,Mr. Beller's Neighborhood,http://www.mrbellersneighborhood.com/,2000,,,artport_whitney_org_2001/screenshots/11.png,20000903035139,http://web.archive.org/web/20000903035139/http://www.mrbellersneighborhood.com/,Y,mrbellersneighborhood.com
Ben Benjamin,Superbad,http://www.superbad.com,1997,,,artport_whitney_org_2001/screenshots/12.png,19970630090605,http://web.archive.org/web/19970630090605/http://www.superbad.com,Y,superbad.com
Tracey Benson,bananarama 2000,http://www.experimenta.org/gallery/signsoflife/2000.htm,1999,,,artport_whitney_org_2001/screenshots/13.png,20020529093719,http://web.archive.org/web/20020529093719/http://www.experimenta.org/gallery/signsoflife/2000.htm,Y,experimenta.org
Tracey Benson,Big Banana Time Inc.,http://www.bigbananatime.com,1996,,,Failed to capture screenshot,20070222033312,http://web.archive.org/web/20070222033312/http://www.bigbananatime.com,N,bigbananatime.com
Tracey Benson,dotty's tour of oz,http://home.iprimus.com.au/tbenson/current/dotty.htm,2000,,,Failed to capture screenshot,20010620113701,http://web.archive.org/web/20010620113701/http://home.iprimus.com.au/tbenson/current/dotty.htm,N,iprimus.com.au
Simon Biggs b. 1957,Babel,http://www.babel.uk.net,2001,,,artport_whitney_org_2001/screenshots/16.png,20010718021324,http://web.archive.org/web/20010718021324/http://www.babel.uk.net,Y,babel.uk.net
Simon Biggs b. 1957,Book of Shadows,http://www.littlepig.org.uk,1995,,,artport_whitney_org_2001/screenshots/17.png,20010718130728,http://web.archive.org/web/20010718130728/http://www.littlepig.org.uk,Y,littlepig.org.uk
Simon Biggs b. 1957,Great Wall of China,http://www.greatwall.org.uk,1996,,,Failed to capture screenshot,20011030043040,http://web.archive.org/web/20011030043040/http://www.greatwall.org.uk,N,greatwall.org.uk
Simon Biggs b. 1957,Mozaic,http://www.littlepig.org.uk,1999,,,artport_whitney_org_2001/screenshots/19.png,20010718130728,http://web.archive.org/web/20010718130728/http://www.littlepig.org.uk,Y,littlepig.org.uk
Simon Biggs b. 1957,Postcard,http://www.littlepig.org.uk,1998,,,artport_whitney_org_2001/screenshots/20.png,20010718130728,http://web.archive.org/web/20010718130728/http://www.littlepig.org.uk,Y,littlepig.org.uk
Nicky Bird,Red Herrings,http://www.pinkink.net/newart/rh/index.htm,1998,,,artport_whitney_org_2001/screenshots/21.png,19990904042328,http://web.archive.org/web/19990904042328/http://www.pinkink.net/newart/rh/index.htm,Y,pinkink.net
Natalie Bookchin,The Intruder,http://www.calarts.edu/~bookchin/intruder/,1998,,,artport_whitney_org_2001/screenshots/22.png,19991008032719,http://web.archive.org/web/19991008032719/http://www.calarts.edu/~bookchin/intruder/,Y,calarts.edu
Jay Boucher b. 1970,Retaining Wall Collisions,http://jayboucher.com/exhibit/collisions/,1999,,,artport_whitney_org_2001/screenshots/23.png,20011119211903,http://web.archive.org/web/20011119211903/http://jayboucher.com/exhibit/collisions/,Y,jayboucher.com
Jay Boucher b. 1970,Untitled VR,http://jayboucher.com/exhibit/unvr/,2000,,,artport_whitney_org_2001/screenshots/24.png,20011119213642,http://web.archive.org/web/20011119213642/http://jayboucher.com/exhibit/unvr/,Y,jayboucher.com
