Date,Artist,website
February 06,Myron Turner,https://artport.whitney.org/v2/gatepages/artists/turner/bstatzero/whitney/info.php
January 06,Abe Linkoln & Marisa Olson,https://artport.whitney.org/v2/gatepages/artists/olson/index.htm
December 05,Simon Goldin & Jakob Senneby,http://www.flackattack.org/Prod/popup.htm
November 05,George Legrady,http://128.111.221.74/parsing/parsing.php
October 05,John F Simon Jr.,https://artport.whitney.org/gatepages/artists/simon/
September 05,Benjamin Fry,https://artport.whitney.org//gatepages/artists/fry/
August 05,Adrianne Wortzel,https://artport.whitney.org//gatepages/artists/wortzel/
June / July 05,C5,https://artport.whitney.org//gatepages/artists/C5/gateway.html
May 05,Erik Loyer,https://artport.whitney.org//gatepages/artists/loyer/
April 05,Warren Sack,https://artport.whitney.org//gatepages/artists/sack/
March 05,Christina McPhee; Jeremy Hight;Sindee Nakatani,https://artport.whitney.org//gatepages/artists/mcphee/
February 05,Jillian Mcdonald,https://artport.whitney.org//gatepages/artists/mcdonald/
January 05,Barbara Lattanzi,https://artport.whitney.org//gatepages/artists/lattanzi/
December 04,Diane Ludin,https://artport.whitney.org//gatepages/artists/ludin/index.html
November 04,Zhang Ga,https://artport.whitney.org//gatepages/artists/zhangga04/pp.html
October 04,Ursula Endlicher,https://artport.whitney.org//gatepages/artists/endlicher/index.html
September 04,Ken Goldberg + Alpha Lab,https://artport.whitney.org//gatepages/artists/goldberg/Demonstrate-Gate.htm
August 04,Jin-Yo Mok + Gicheol Lee,https://artport.whitney.org//gatepages/artists/mok/artport_mbox.html
July 04,Paul Catanese,https://artport.whitney.org//gatepages/artists/catanese/catanese_main.htm
June 04,Beatriz da Costa; Jamie Schulte,https://artport.whitney.org//gatepages/artists/singer/index.html
May 04,Andrea Polli,https://artport.whitney.org//gatepages/artists/polli/polli.html
