Date,Artist,website,screenshots,archive available at,archive capture link,can access,base url
February 06,Myron Turner,https://artport.whitney.org/v2/gatepages/artists/turner/bstatzero/whitney/info.php,artport_whitney_org_2002/screenshots/0.png,0,,Y,whitney.org
January 06,Abe Linkoln & Marisa Olson,https://artport.whitney.org/v2/gatepages/artists/olson/index.htm,artport_whitney_org_2002/screenshots/1.png,0,,Y,whitney.org
December 05,Simon Goldin & Jakob Senneby,http://www.flackattack.org/Prod/popup.htm,artport_whitney_org_2002/screenshots/2.png,20060210223021,http://web.archive.org/web/20060210223021/http://www.flackattack.org/Prod/popup.htm,Y,flackattack.org
November 05,George Legrady,http://128.111.221.74/parsing/parsing.php,Failed to capture screenshot,20050930202233,http://web.archive.org/web/20050930202233/http://128.111.221.74/parsing/parsing.php,N,221.74
October 05,John F Simon Jr.,https://artport.whitney.org/gatepages/artists/simon/,artport_whitney_org_2002/screenshots/4.png,20060211221915,http://web.archive.org/web/20060211221915/https://artport.whitney.org/gatepages/artists/simon/,Y,whitney.org
September 05,Benjamin Fry,https://artport.whitney.org//gatepages/artists/fry/,artport_whitney_org_2002/screenshots/5.png,20051215144956,http://web.archive.org/web/20051215144956/https://artport.whitney.org//gatepages/artists/fry/,Y,whitney.org
August 05,Adrianne Wortzel,https://artport.whitney.org//gatepages/artists/wortzel/,artport_whitney_org_2002/screenshots/6.png,20051215133426,http://web.archive.org/web/20051215133426/https://artport.whitney.org//gatepages/artists/wortzel/,Y,whitney.org
June / July 05,C5,https://artport.whitney.org//gatepages/artists/C5/gateway.html,artport_whitney_org_2002/screenshots/7.png,20050607000610,http://web.archive.org/web/20050607000610/https://artport.whitney.org//gatepages/artists/C5/gateway.html,Y,whitney.org
May 05,Erik Loyer,https://artport.whitney.org//gatepages/artists/loyer/,artport_whitney_org_2002/screenshots/8.png,20050524225018,http://web.archive.org/web/20050524225018/https://artport.whitney.org//gatepages/artists/loyer/,Y,whitney.org
April 05,Warren Sack,https://artport.whitney.org//gatepages/artists/sack/,artport_whitney_org_2002/screenshots/9.png,20050424231015,http://web.archive.org/web/20050424231015/https://artport.whitney.org//gatepages/artists/sack/,Y,whitney.org
March 05,Christina McPhee; Jeremy Hight;Sindee Nakatani,https://artport.whitney.org//gatepages/artists/mcphee/,artport_whitney_org_2002/screenshots/10.png,20050317083840,http://web.archive.org/web/20050317083840/https://artport.whitney.org//gatepages/artists/mcphee/,Y,whitney.org
February 05,Jillian Mcdonald,https://artport.whitney.org//gatepages/artists/mcdonald/,artport_whitney_org_2002/screenshots/11.png,20050223154401,http://web.archive.org/web/20050223154401/https://artport.whitney.org//gatepages/artists/mcdonald/,Y,whitney.org
January 05,Barbara Lattanzi,https://artport.whitney.org//gatepages/artists/lattanzi/,artport_whitney_org_2002/screenshots/12.png,20050104171923,http://web.archive.org/web/20050104171923/https://artport.whitney.org//gatepages/artists/lattanzi/,Y,whitney.org
December 04,Diane Ludin,https://artport.whitney.org//gatepages/artists/ludin/index.html,artport_whitney_org_2002/screenshots/13.png,20041215001337,http://web.archive.org/web/20041215001337/https://artport.whitney.org//gatepages/artists/ludin/index.html,Y,whitney.org
November 04,Zhang Ga,https://artport.whitney.org//gatepages/artists/zhangga04/pp.html,Failed to capture screenshot,20041101221208,http://web.archive.org/web/20041101221208/https://artport.whitney.org//gatepages/artists/zhangga04/pp.html,N,whitney.org
October 04,Ursula Endlicher,https://artport.whitney.org//gatepages/artists/endlicher/index.html,artport_whitney_org_2002/screenshots/15.png,20041011230448,http://web.archive.org/web/20041011230448/https://artport.whitney.org//gatepages/artists/endlicher/index.html,Y,whitney.org
September 04,Ken Goldberg + Alpha Lab,https://artport.whitney.org//gatepages/artists/goldberg/Demonstrate-Gate.htm,artport_whitney_org_2002/screenshots/16.png,20040906214634,http://web.archive.org/web/20040906214634/https://artport.whitney.org//gatepages/artists/goldberg/Demonstrate-Gate.htm,Y,whitney.org
August 04,Jin-Yo Mok + Gicheol Lee,https://artport.whitney.org//gatepages/artists/mok/artport_mbox.html,artport_whitney_org_2002/screenshots/17.png,20040805041103,http://web.archive.org/web/20040805041103/https://artport.whitney.org//gatepages/artists/mok/artport_mbox.html,Y,whitney.org
July 04,Paul Catanese,https://artport.whitney.org//gatepages/artists/catanese/catanese_main.htm,artport_whitney_org_2002/screenshots/18.png,20040805032507,http://web.archive.org/web/20040805032507/https://artport.whitney.org//gatepages/artists/catanese/catanese_main.htm,Y,whitney.org
June 04,Beatriz da Costa; Jamie Schulte,https://artport.whitney.org//gatepages/artists/singer/index.html,artport_whitney_org_2002/screenshots/19.png,20040611213319,http://web.archive.org/web/20040611213319/https://artport.whitney.org//gatepages/artists/singer/index.html,Y,whitney.org
May 04,Andrea Polli,https://artport.whitney.org//gatepages/artists/polli/polli.html,artport_whitney_org_2002/screenshots/20.png,20040604180459,http://web.archive.org/web/20040604180459/https://artport.whitney.org//gatepages/artists/polli/polli.html,Y,whitney.org
