artist,title,date,website
Benoît MaubreyBenoît Maubrey,Performances with electroacoustic Clothes,1983,http://www.benoitmaubrey.com/?p=569
Wolfgang StaehleWolfgang Staehle,Photographs of The Thing BBS and headquarters,1991,
Wolfgang StaehleWolfgang Staehle,The Thing BBS,1991,
Delirium ArtsDelirium Arts,TwiLight,1991,http://1x-upon.com/~despens/twilight/
Akke WagenaarAkke Wagenaar,Animatrix,1993,http://www.errorg.info/akke/Animatrix/index.html
Antoni MuntadasAntoni Muntadas,The File Room,1994,
G.H. HovagimyanG.H. Hovagimyan,Faux Conceptual Art,1994,http://artnetweb.com/projects/fauxcon/
Lev ManovichLev Manovich,Little Movies,1994,
Jim JohnsonJim Johnson,"""Brick"" Drawings",1995,http://spot.colorado.edu/~johnsoja/dwgs.html
Eva GrubingerEva Grubinger,Netzbikini,1995,
Heath BuntingHeath Bunting,Communication Creates Conflict,1995,
Mark AmerikaMark Amerika,HTC1.0,1995,http://archive.rhizome.org/artbase/1701/htc1_1.0/
Heath BuntingHeath Bunting,Untitled (splash page),1995,
Thomson & CraigheadThomson & Craighead,Short Story,1995,http://www.thomson-craighead.net/ShortStory/
owen plotkinowen plotkin,colorbot,1995,http://www.colorbot.com
Martin SjardijnMartin Sjardijn,Weightless Sculpture Project,1995,http://www.sjardijn.com/wsp/frames.html
Akke WagenaarAkke Wagenaar,The Hiroshima Project,1995,http://www.errorg.info/akke/HiroshimaProject/index.html
Auriea HarveyAuriea Harvey,entropy8.com,1995,
michael bielickymichael bielicky,exodus,1995,http://exodus.avu.cz/
Jordons FranciscoJordons Francisco,Baroque Gold,1996,http://www.bn.com.br/gold
Thomson & CraigheadThomson & Craighead,Altitude,1996,http://www.thomson-craighead.net/Altitude/
Victoria VesnaVictoria Vesna,Bodies INCorporated,1996,http://www.bodiesinc.ucla.edu/
julie Moreljulie Morel,Echo syst,1996,http://campus.ensba.fr/morel
Nino RodriguezNino Rodriguez,Face Value,1996,http://www.pobox.com/~nino/
Olia LialinaOlia Lialina,My boyfriend came back from the war,1996,http://www.heise.de/tp/kunst/war/http://www.teleportacia.org/war/
Dariusz Nowak-NovaDariusz Nowak-Nova,Live Tarot,1996,http://www.nova.priv.pl/livetarot
Kenji KojimaKenji Kojima,kenjikojima.com / Interactive Web Art,1996,http://www.kenjikojima.com/
Janet CardiffJanet Cardiff,Louisiana Walk #14,1996,http://www.abbeymedia.com/Janweb/louis.html
Simon BiggsSimon Biggs,Great Wall of China,1996,http://www.greatwall.org.uk/
Yael KanarekYael Kanarek,Love Letters from the World of Awe,1996,
Eric DymondEric Dymond,the doorway,1996,http://web.idirect.com/~artseen/door.htm
Lisa HuttonLisa Hutton,cyber*babes,1996,http://www-crca.ucsd.edu/~Variety_Is/TCA1.html
philip woodphilip wood,sign69,1996,http://www.medialounge.org/
Terry ToweryTerry Towery,Online Art Critic,1997,http://archive.rhizome.org/artbase/2188/onlinecrit/onlinecrit.html
Claude CloskyClaude Closky,Do You Want Love or Lust?,1997,http://www.diacenter.org/closky/index.htmlhttp://www.diacenter.org/closky/index.html
A .A .,Absurd Org.,1997,http://www.absurd.org/
Susan CollinsSusan Collins,In Conversation,1997,http://www.inconversation.com/
Olia LialinaOlia Lialina,Agatha Appears,1997,http://www.c3.hu/collection/agatha/
Thomson & CraigheadThomson & Craighead,Attributed Text,1997,http://www.attributed-text.net/
Alexei ShulginAlexei Shulgin,Introduction to net.art,1997,http://easylife.org/netart/
Johannes AuerJohannes Auer,Kill the Poem,1997,http://www.s.netic.de/auer/kill/killpoem.htm
Alexei ShulginAlexei Shulgin,Form Art,1997,http://www.c3.hu/collection/form/
Vuk ĆosićVuk Ćosić,Documenta Done,1997,
John F. SimonJohn F. Simon,Every Icon,1997,
Annette WeintraubAnnette Weintraub,Pedestrian: Walking as Meditation and the Lure of Everyday Objects,1997,http://www.turbulence.org/Works/pedestrian/intro.html
I/O/DI/O/D,The Web Stalker,1997,http://www.backspace.org/iod
Nora FarrellNora Farrell,The Cathedral Project,1997,http://cathedral.monroestreet.com
Tom CorbyTom Corby,Reconnoitre,1997,http://www.reconnoitre.net/rec/index.php
Rev. Luke MurphyRev. Luke Murphy,Mile Long Page,1997,
Vuk ĆosićVuk Ćosić,History of Art for Airports,1997,http://www.ljudmila.org/~vuk/history/
Darrin MartinDarrin Martin,Point of Departure,1997,http://darrinmartin.com/Aviatix_EE_web/index.html
Robbin MurphyRobbin Murphy,Osiris,1997,http://rhizome.org/splash/murphy/
Cornelia SollfrankCornelia Sollfrank,net.art generator,1997,http://net.art-generator.com/
Robbin MurphyRobbin Murphy,Project Tumbleweed,27 October 1997,http://www.artnetweb.com/iola/tumbleweed/index.html
Jean-Paul TremblayJean-Paul Tremblay,delinquent,1997,http://www.lowculture.com/transmission/delinquent/
MTAAMTAA,Simple Net Art Diagram,1997,http://www.mtaa.net/mtaaRR/off-line_art/snad.html
StanzaStanza,amorphoscapes II.  1997 - 2004. Touch Screen Editions,1997,http://www.stanza.co.uk/amorphoscapes/index.html
Shelley JacksonShelley Jackson,my body — a Wunderkammer,1997,http://www.altx.com/thebody/http://collection.eliterature.org/1/works/jackson__my_body_a_wunderkammer.html
Shu Lea CheangShu Lea Cheang,Wallpaper,1997,
Gita HashemiGita Hashemi,steps to the moon,1997,http://archive.rhizome.org/artbase/3409/steps/index.html
Valery GrancherValery Grancher,Webpaintings,1997,http://www.nomemory.org/webpaint
Sergio MaltagliatiSergio Maltagliati,netOper@,1997,http://archive.rhizome.org/artbase/5160/
Damon HammDamon Hamm,Dexterity Meter,1998,http://archive.rhizome.org/artbase/32987/dexterity_meter_rhizome/
G.H. HovagimyanG.H. Hovagimyan,A SoaPOPera for Laptops / iMacs,1998,http://nujus.net/~nujus/html/soapopNu-1.html
Alexei ShulginAlexei Shulgin,Desktop Is,1998,
Reynald DrouhinReynald Drouhin,Alteraction,1998,http://www.incident.net/works/alteraction/
Jeannette LambertJeannette Lambert,One Night in Greenwich Village,1998,http://archive.rhizome.org/artbase/2127/artweb_rhizome/onenite-rhizome/index.htm
Jeff GompertzJeff Gompertz,multiple_dwelling,1998,
arcangel constantiniarcangel constantini,bakteria,1998,http://www.bakteria.org/
JODIJODI,%20wrong (RHIZOME--splash%20_%20JODI%20%_),1998,
Annie AbrahamsAnnie Abrahams,being human,1998,http://www.bram.org/https://www.bram.org/index2.htmhttps://www.bram.org/index3.htm
Victor LiuVictor Liu,The Slow Arrow of Beauty,1998,http://www.n-gon.com/SlowArrow/
Shu Lea CheangShu Lea Cheang,Brandon,1998,http://brandon.guggenheim.org/
Maciej WisniewskiMaciej Wisniewski,Scroll Bar,1998,http://archive.rhizome.org/artbase/52952
Nobody HereNobody Here,Nobody Here,1998,http://www.NobodyHere.com/justme
Miklos LegradyMiklos Legrady,Alphabet Soup,1998,http://www.c3.hu/~itmiklos/site/0.html
Michael SmithJoshua WhiteMichael SmithJoshua White,Open House,1998,http://archive.rhizome.org/Open_House/
Eryk SalvaggioEryk Salvaggio,Absolut Net.Art,1998,http://archive.rhizome.org/artbase/1690/index.html
Thomson & CraigheadThomson & Craighead,CNN Interactive just got more interactive,1998,http://cnnextra.net/
Maxine GregsonRory HamiltonMaxine GregsonRory Hamilton,Largest Unused Block,1998,http://www.heise.de/tp/kunst/l_u_block/
MouchetteMouchette,Flesh&Blood,1998,http://www.mouchette.org/flesh/tong.html
Erik LoyerErik Loyer,The Lair of the Marrow Monkey,1998,http://www.marrowmonkey.com/lair
01001011101011010100101110101101,Darko Maver,1998,http://0100101110101101.org/home/darko_maver
