artist,title,date,website,screenshots,archive available at,archive capture link,can access,base url
Benoît MaubreyBenoît Maubrey,Performances with electroacoustic Clothes,1983,http://www.benoitmaubrey.com/?p=569,rhizome_artbase/screenshots/0.png,20120110004404,http://web.archive.org/web/20120110004404/http://www.benoitmaubrey.com/?p=569,Y,benoitmaubrey.com
Wolfgang StaehleWolfgang Staehle,Photographs of The Thing BBS and headquarters,1991,,,,,,
Wolfgang StaehleWolfgang Staehle,The Thing BBS,1991,,,,,,
Delirium ArtsDelirium Arts,TwiLight,1991,http://1x-upon.com/~despens/twilight/,rhizome_artbase/screenshots/3.png,20131117185147,http://web.archive.org/web/20131117185147/http://1x-upon.com/~despens/twilight/,Y,1x-upon.com
Akke WagenaarAkke Wagenaar,Animatrix,1993,http://www.errorg.info/akke/Animatrix/index.html,Failed to capture screenshot,20150521064329,http://web.archive.org/web/20150521064329/http://www.errorg.info/akke/Animatrix/index.html,N,errorg.info
Antoni MuntadasAntoni Muntadas,The File Room,1994,,,,,,
G.H. HovagimyanG.H. Hovagimyan,Faux Conceptual Art,1994,http://artnetweb.com/projects/fauxcon/,rhizome_artbase/screenshots/6.png,19980114221400,http://web.archive.org/web/19980114221400/http://artnetweb.com/projects/fauxcon/,Y,artnetweb.com
Lev ManovichLev Manovich,Little Movies,1994,,,,,,
Jim JohnsonJim Johnson,"""Brick"" Drawings",1995,http://spot.colorado.edu/~johnsoja/dwgs.html,rhizome_artbase/screenshots/8.png,19991003063452,http://web.archive.org/web/19991003063452/http://spot.colorado.edu/~johnsoja/dwgs.html,Y,colorado.edu
Eva GrubingerEva Grubinger,Netzbikini,1995,,,,,,
Heath BuntingHeath Bunting,Communication Creates Conflict,1995,,,,,,
Mark AmerikaMark Amerika,HTC1.0,1995,http://archive.rhizome.org/artbase/1701/htc1_1.0/,rhizome_artbase/screenshots/11.png,20130218061152,http://web.archive.org/web/20130218061152/http://archive.rhizome.org/artbase/1701/htc1_1.0/,Y,rhizome.org
Heath BuntingHeath Bunting,Untitled (splash page),1995,,,,,,
Thomson & CraigheadThomson & Craighead,Short Story,1995,http://www.thomson-craighead.net/ShortStory/,rhizome_artbase/screenshots/13.png,20150521054128,http://web.archive.org/web/20150521054128/http://www.thomson-craighead.net/ShortStory/,Y,thomson-craighead.net
owen plotkinowen plotkin,colorbot,1995,http://www.colorbot.com,rhizome_artbase/screenshots/14.png,20010201210200,http://web.archive.org/web/20010201210200/http://www.colorbot.com,Y,colorbot.com
Martin SjardijnMartin Sjardijn,Weightless Sculpture Project,1995,http://www.sjardijn.com/wsp/frames.html,rhizome_artbase/screenshots/15.png,20070909063903,http://web.archive.org/web/20070909063903/http://www.sjardijn.com/wsp/frames.html,Y,sjardijn.com
Akke WagenaarAkke Wagenaar,The Hiroshima Project,1995,http://www.errorg.info/akke/HiroshimaProject/index.html,Failed to capture screenshot,20111002102801,http://web.archive.org/web/20111002102801/http://www.errorg.info/akke/HiroshimaProject/index.html,N,errorg.info
Auriea HarveyAuriea Harvey,entropy8.com,1995,,,,,,
michael bielickymichael bielicky,exodus,1995,http://exodus.avu.cz/,rhizome_artbase/screenshots/18.png,19980111182438,http://web.archive.org/web/19980111182438/http://exodus.avu.cz/,Y,avu.cz
Jordons FranciscoJordons Francisco,Baroque Gold,1996,http://www.bn.com.br/gold,rhizome_artbase/screenshots/19.png,19990203155610,http://web.archive.org/web/19990203155610/http://www.bn.com.br/gold,Y,com.br
Thomson & CraigheadThomson & Craighead,Altitude,1996,http://www.thomson-craighead.net/Altitude/,rhizome_artbase/screenshots/20.png,20080724172111,http://web.archive.org/web/20080724172111/http://www.thomson-craighead.net/Altitude/,Y,thomson-craighead.net
